Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
21,Junior Adamu,at AUT,"MF,FW",Schalke 04,de Bundesliga,25.0,2001,2,2,140,1.6,0,1,1,0,0,0,0,0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,21,at AUT,"MF,FW",de Bundesliga,25-100,2001,1.6,0,5,2,40.0,3.21,1.29,0.00,0.00,0,0,23,at AUT,"MF,FW",de Bundesliga,25-100,2001,2,140,70,51.9,1.6,2,70,0,0,,1,1.50,2,1,+1,+0.64,+2.03,21,at AUT,"MF,FW",de Bundesliga,25-100,2001,1.6,0,0,0,3,1,1,0,0,0,0
22,Tosin Adarabioyo,eng ENG,DF,Tottenham,eng Premier League,28.0,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,22,eng ENG,DF,eng Premier League,28-355,1997,0.1,0,0,0,,0.00,0.00,,,0,0,24,eng ENG,DF,eng Premier League,28-355,1997,1,6,6,1.7,0.1,0,,0,1,6,0,1.00,0,0,0,0.00,+1.27,22,eng ENG,DF,eng Premier League,28-355,1997,0.1,0,0,0,0,0,0,0,0,1,0
23,Martin Adeline,fr FRA,MF,Hamburger SV,de Bundesliga,22.0,2003,2,2,111,1.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,23,fr FRA,MF,de Bundesliga,22-286,2003,1.2,0,0,0,,0.00,0.00,,,0,0,25,fr FRA,MF,de Bundesliga,22-286,2003,2,111,56,41.1,1.2,2,56,0,0,,1,0.00,0,4,-4,-3.24,+1.29,23,fr FRA,MF,de Bundesliga,22-286,2003,1.2,0,0,0,2,0,0,2,0,1,0
24,Karim Adeyemi,de GER,MF,Barcelona,es La Liga,24.0,2002,5,1,142,1.6,2,1,3,2,0,0,0,0,1.90,,,,,,,,,,,,,,,,,,,,,,,,,24,de GER,MF,es La Liga,24-239,2002,1.6,2,7,5,71.4,4.44,3.17,0.29,0.40,0,0,26,de GER,MF,es La Liga,24-239,2002,5,142,28,31.6,1.6,1,64,0,4,20,0,3.00,7,2,+5,+3.17,-0.34,24,de GER,MF,es La Liga,24-239,2002,1.6,0,0,0,1,4,0,2,0,0,0
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,24.0,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,25,gh GHA,DF,fr Ligue 1,24-024,2002,4.0,0,0,0,,0.00,0.00,,,0,0,27,gh GHA,DF,fr Ligue 1,24-024,2002,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,4,4,0,0.00,,25,gh GHA,DF,fr Ligue 1,24-024,2002,4.0,1,0,0,1,5,0,0,11,5,0
26,Vasilije Adžić,me MNE,MF,Sassuolo,it Serie A,20.0,2006,4,3,201,2.2,2,1,3,2,0,0,0,0,1.34,,,,,,,,,,,,,,,,,,,,,,,,,26,me MNE,MF,it Serie A,20-125,2006,2.2,2,9,4,44.4,4.03,1.79,0.22,0.50,0,0,28,me MNE,MF,it Serie A,20-125,2006,4,201,50,55.8,2.2,3,60,0,1,20,0,1.75,6,5,+1,+0.45,+0.45,26,me MNE,MF,it Serie A,20-125,2006,2.2,0,0,0,3,1,2,6,1,2,0
27,Michel Aebischer,ch SUI,MF,Union Berlin,de Bundesliga,29.0,1997,3,3,206,2.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,27,ch SUI,MF,de Bundesliga,29-251,1997,2.3,0,5,0,0.0,2.18,0.00,0.00,,0,0,29,ch SUI,MF,de Bundesliga,29-251,1997,3,206,69,76.3,2.3,3,69,0,0,,0,0.33,1,7,-6,-2.62,-2.62,27,ch SUI,MF,de Bundesliga,29-251,1997,2.3,1,0,0,4,1,0,6,0,2,0
28,David Affengruber,at AUT,DF,Elche,es La Liga,25.0,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,28,at AUT,DF,es La Liga,25-179,2001,3.0,0,5,0,0.0,1.67,0.00,0.00,,0,0,30,at AUT,DF,es La Liga,25-179,2001,3,270,90,60.0,3.0,3,90,3,0,,0,0.33,3,9,-6,-2.00,-1.50,28,at AUT,DF,es La Liga,25-179,2001,3.0,0,0,0,1,4,0,1,5,3,0
29,David Affengruber,at AUT,DF,Fulham,eng Premier League,25.0,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,29,at AUT,DF,eng Premier League,25-179,2001,1.0,0,0,0,,0.00,0.00,,,0,0,31,at AUT,DF,eng Premier League,25-179,2001,1,90,90,25.0,1.0,1,90,1,0,,1,1.00,0,0,0,0.00,+1.00,29,at AUT,DF,eng Premier League,25-179,2001,1.0,0,0,0,1,0,0,0,2,0,0
30,Julen Agirrezabala,es ESP,GK,Racing Sant,es La Liga,25.0,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,1,es ESP,GK,es La Liga,25-262,2000,5,5,450,5.0,9,1.80,32,23,71.9,2,1,2,0,0.0,0,0,0,0,30,es ESP,GK,es La Liga,25-262,2000,5.0,0,0,0,,0.00,0.00,,,0,0,32,es ESP,GK,es La Liga,25-262,2000,5,450,90,100.0,5.0,5,90,5,0,,0,1.40,9,9,0,0.00,,30,es ESP,GK,es La Liga,25-262,2000,5.0,0,0,0,0,2,0,0,0,0,0
31,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24.0,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,31,fr FRA,MF,es La Liga,24-217,2002,5.0,0,4,0,0.0,0.80,0.00,0.00,,0,0,33,fr FRA,MF,es La Liga,24-217,2002,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,8,6,+2,+0.40,,31,fr FRA,MF,es La Liga,24-217,2002,5.0,1,0,0,10,5,0,4,12,11,0
32,Marc Aguado,es ESP,MF,Elche,es La Liga,26.0,2000,3,3,198,2.2,1,0,1,1,0,0,0,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,32,es ESP,MF,es La Liga,26-204,2000,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,0,0,34,es ESP,MF,es La Liga,26-204,2000,3,198,66,44.0,2.2,3,66,1,0,,2,0.33,1,6,-5,-2.27,-1.56,32,es ESP,MF,es La Liga,26-204,2000,2.2,0,0,0,2,3,0,0,0,1,0
33,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,30.0,1996,4,2,208,2.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,33,ma MAR,DF,fr Ligue 1,30-168,1996,2.3,0,0,0,,0.00,0.00,,,0,0,35,ma MAR,DF,fr Ligue 1,30-168,1996,4,208,52,57.8,2.3,2,80,0,2,25,0,0.75,4,3,+1,+0.43,+1.02,33,ma MAR,DF,fr Ligue 1,30-168,1996,2.3,1,0,0,2,0,0,0,1,1,0
34,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,33.0,1993,3,2,188,2.1,0,1,1,0,0,0,1,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,34,fr FRA,MF,fr Ligue 1,33-141,1993,2.1,0,1,0,0.0,0.48,0.00,0.00,,0,0,36,fr FRA,MF,fr Ligue 1,33-141,1993,3,188,63,52.2,2.1,2,80,1,1,29,0,0.33,2,4,-2,-0.96,-2.53,34,fr FRA,MF,fr Ligue 1,33-141,1993,2.1,1,0,0,7,1,1,7,6,2,0
35,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,24.0,2002,4,3,241,2.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,35,fr FRA,MF,fr Ligue 1,24-169,2002,2.7,0,1,1,100.0,0.37,0.37,0.00,0.00,0,0,38,fr FRA,MF,fr Ligue 1,24-169,2002,4,241,60,66.9,2.7,3,77,1,1,10,0,0.75,4,10,-6,-2.24,-2.24,35,fr FRA,MF,fr Ligue 1,24-169,2002,2.7,0,0,0,0,2,0,5,0,1,0
