Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
857,Trai Hume,nir NIR,MF,Sunderland,eng Premier League,24.0,2002,3,2,196,2.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,857,nir NIR,MF,eng Premier League,24-180,2002,2.2,0,2,0,0.0,0.92,0.00,0.00,,0,0,1064,nir NIR,MF,eng Premier League,24-180,2002,3,196,65,54.4,2.2,2,85,1,1,27,1,1.33,3,1,+2,+0.92,+3.11,857,nir NIR,MF,eng Premier League,24-180,2002,2.2,0,0,0,4,2,0,5,1,6,0
858,Omari Hutchinson,eng ENG,MF,Milan,it Serie A,22.0,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,858,eng ENG,MF,it Serie A,22-319,2003,0.2,0,1,1,100.0,6.43,6.43,0.00,0.00,0,0,1066,eng ENG,MF,it Serie A,22-319,2003,1,14,14,3.9,0.2,0,,0,1,14,1,1.00,0,0,0,0.00,-0.78,858,eng ENG,MF,it Serie A,22-319,2003,0.2,0,0,0,0,1,0,1,0,0,0
859,Lucas Høgsberg,dk DEN,DF,Strasbourg,fr Ligue 1,20.0,2006,3,2,184,2.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,859,dk DEN,DF,fr Ligue 1,20-083,2006,2.0,0,0,0,,0.00,0.00,,,0,0,1067,dk DEN,DF,fr Ligue 1,20-083,2006,3,184,61,51.1,2.0,2,86,1,1,12,1,2.00,4,6,-2,-0.98,-2.51,859,dk DEN,DF,fr Ligue 1,20-083,2006,2.0,0,0,0,2,0,0,0,1,3,0
860,Pierre Højbjerg,dk DEN,MF,Marseille,fr Ligue 1,31.0,1995,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,860,dk DEN,MF,fr Ligue 1,31-040,1995,4.0,1,7,2,28.6,1.75,0.50,0.14,0.50,0,0,1068,dk DEN,MF,fr Ligue 1,31-040,1995,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,6,6,0,0.00,,860,dk DEN,MF,fr Ligue 1,31-040,1995,4.0,0,0,0,4,2,0,3,9,6,0
861,Oscar Højlund,dk DEN,MF,Frankfurt,de Bundesliga,21.0,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,861,dk DEN,MF,de Bundesliga,21-253,2005,0.1,0,0,0,,0.00,0.00,,,0,0,1069,dk DEN,MF,de Bundesliga,21-253,2005,1,12,12,4.4,0.1,0,,0,1,12,1,1.00,0,1,-1,-7.50,-7.50,861,dk DEN,MF,de Bundesliga,21-253,2005,0.1,0,0,0,0,0,0,0,0,0,0
862,Rasmus Højlund,dk DEN,FW,Napoli,it Serie A,23.0,2003,4,4,301,3.3,2,0,2,2,0,0,0,0,0.60,,,,,,,,,,,,,,,,,,,,,,,,,862,dk DEN,FW,it Serie A,23-222,2003,3.3,2,7,4,57.1,2.09,1.20,0.29,0.50,0,0,1070,dk DEN,FW,it Serie A,23-222,2003,4,301,75,83.6,3.3,4,75,0,0,,0,1.50,4,3,+1,+0.30,+0.30,862,dk DEN,FW,it Serie A,23-222,2003,3.3,0,0,0,2,2,4,1,0,0,0
863,Pablo Ibáñez,es ESP,MF,Alavés,es La Liga,27.0,1998,5,5,405,4.5,1,0,1,1,0,0,1,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,863,es ESP,MF,es La Liga,27-359,1998,4.5,1,6,2,33.3,1.33,0.44,0.17,0.50,0,0,1072,es ESP,MF,es La Liga,27-359,1998,5,405,81,90.0,4.5,5,81,4,0,,0,2.00,11,4,+7,+1.56,+3.56,863,es ESP,MF,es La Liga,27-359,1998,4.5,1,0,0,9,9,0,4,5,2,0
864,Arijon Ibrahimović,de GER,"MF,FW",Augsburg,de Bundesliga,20.0,2005,2,2,118,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,864,de GER,"MF,FW",de Bundesliga,20-277,2005,1.3,0,6,2,33.3,4.58,1.53,0.00,0.00,0,0,1075,de GER,"MF,FW",de Bundesliga,20-277,2005,2,118,59,43.7,1.3,2,59,0,0,,0,2.00,4,2,+2,+1.53,-0.84,864,de GER,"MF,FW",de Bundesliga,20-277,2005,1.3,0,0,0,2,3,0,7,0,0,0
865,Stanis Idumbo,be BEL,MF,Monaco,fr Ligue 1,21.0,2005,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,865,be BEL,MF,fr Ligue 1,21-077,2005,3.6,1,10,3,30.0,2.80,0.84,0.10,0.33,0,0,1077,be BEL,MF,fr Ligue 1,21-077,2005,4,321,80,89.2,3.6,4,80,0,0,,0,2.50,6,2,+4,+1.12,+1.12,865,be BEL,MF,fr Ligue 1,21-077,2005,3.6,0,0,0,2,4,1,5,1,4,0
866,Jay Idzes,id IDN,DF,Sassuolo,it Serie A,26.0,2000,3,3,260,2.9,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,866,id IDN,DF,it Serie A,26-104,2000,2.9,0,1,0,0.0,0.35,0.00,0.00,,0,0,1078,id IDN,DF,it Serie A,26-104,2000,3,260,87,72.2,2.9,3,87,2,0,,1,2.33,5,3,+2,+0.69,+1.59,866,id IDN,DF,it Serie A,26-104,2000,2.9,1,0,0,4,3,0,1,2,0,0
867,Merwan Ifnaoui,fr FRA,"MF,FW",Troyes,fr Ligue 1,27.0,1998,3,3,235,2.6,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,867,fr FRA,"MF,FW",fr Ligue 1,27-327,1998,2.6,0,1,0,0.0,0.38,0.00,0.00,,0,0,1079,fr FRA,"MF,FW",fr Ligue 1,27-327,1998,3,235,78,65.3,2.6,3,78,2,0,,0,1.33,3,3,0,0.00,+3.60,867,fr FRA,"MF,FW",fr Ligue 1,27-327,1998,2.6,0,0,0,1,2,0,11,1,0,0
868,Iglesias,es ESP,DF,Sevilla,es La Liga,28.0,1998,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,868,es ESP,DF,es La Liga,28-073,1998,5.0,1,4,3,75.0,0.80,0.60,0.25,0.33,0,0,1080,es ESP,DF,es La Liga,28-073,1998,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,8,6,+2,+0.40,,868,es ESP,DF,es La Liga,28-073,1998,5.0,0,0,0,3,9,0,16,4,6,0
869,Borja Iglesias,es ESP,FW,Celta Vigo,es La Liga,33.0,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,869,es ESP,FW,es La Liga,33-240,1993,0.2,0,2,0,0.0,8.18,0.00,0.00,,0,0,1081,es ESP,FW,es La Liga,33-240,1993,1,22,22,4.1,0.2,0,,0,1,22,1,1.00,0,0,0,0.00,+0.52,869,es ESP,FW,es La Liga,33-240,1993,0.2,0,0,0,0,0,1,0,0,0,0
870,Jonathan Ikone,fr FRA,"FW,MF",Paris FC,fr Ligue 1,28.0,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,870,fr FRA,"FW,MF",fr Ligue 1,28-135,1998,0.0,0,0,0,,0.00,0.00,,,0,0,1082,fr FRA,"FW,MF",fr Ligue 1,28-135,1998,1,4,4,1.1,0.0,0,,0,1,4,0,1.00,0,0,0,0.00,-1.01,870,fr FRA,"FW,MF",fr Ligue 1,28-135,1998,0.0,0,0,0,2,0,0,0,0,0,0
871,Ivan Ilić,rs SRB,MF,Lecce,it Serie A,25.0,2001,3,2,149,1.7,0,2,2,0,0,0,1,0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,871,rs SRB,MF,it Serie A,25-181,2001,1.7,0,1,0,0.0,0.60,0.00,0.00,,0,0,1083,rs SRB,MF,it Serie A,25-181,2001,3,149,50,41.4,1.7,2,65,0,1,19,0,1.00,3,2,+1,+0.60,+1.88,871,rs SRB,MF,it Serie A,25-181,2001,1.7,1,0,0,2,0,0,9,2,1,0
872,Emirhan İlkhan,tr TUR,MF,Torino,it Serie A,22.0,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,872,tr TUR,MF,it Serie A,22-105,2004,0.3,0,0,0,,0.00,0.00,,,0,0,1084,tr TUR,MF,it Serie A,22-105,2004,1,24,24,8.9,0.3,0,,0,1,24,2,0.00,0,1,-1,-3.75,-3.75,872,tr TUR,MF,it Serie A,22-105,2004,0.3,0,0,0,0,0,0,0,0,1,0
873,Samuele Inácio,it ITA,FW,Dortmund,de Bundesliga,18.0,2008,1,0,3,0.0,0,0,0,0,0,0,0,1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,873,it ITA,FW,de Bundesliga,18-165,2008,0.0,0,0,0,,0.00,0.00,,,0,0,1085,it ITA,FW,de Bundesliga,18-165,2008,1,3,3,1.1,0.0,0,,0,1,3,0,3.00,0,0,0,0.00,-2.02,873,it ITA,FW,de Bundesliga,18-165,2008,0.0,0,1,0,1,0,0,0,0,0,0
874,Christ Inao Oulaï,ci CIV,MF,Fiorentina,it Serie A,20.0,2006,3,2,122,1.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,874,ci CIV,MF,it Serie A,20-161,2006,1.4,0,1,0,0.0,0.74,0.00,0.00,,0,0,1086,ci CIV,MF,it Serie A,20-161,2006,3,122,41,33.9,1.4,2,47,0,1,29,1,0.00,0,4,-4,-2.95,-2.19,874,ci CIV,MF,it Serie A,20-161,2006,1.4,0,0,0,2,5,0,0,3,5,0
875,Cyriaque Irié,bf BFA,MF,Freiburg,de Bundesliga,21.0,2005,2,0,54,0.6,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,875,bf BFA,MF,de Bundesliga,21-086,2005,0.6,0,2,0,0.0,3.33,0.00,0.00,,0,0,1087,bf BFA,MF,de Bundesliga,21-086,2005,2,54,27,20.0,0.6,0,,0,2,27,1,3.00,3,1,+2,+3.33,+0.42,875,bf BFA,MF,de Bundesliga,21-086,2005,0.6,1,0,0,2,0,0,1,0,1,0
876,Tim Iroegbunam,eng ENG,MF,Hull City,eng Premier League,23.0,2003,1,0,22,0.2,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,876,eng ENG,MF,eng Premier League,23-076,2003,0.2,0,0,0,,0.00,0.00,,,0,0,1088,eng ENG,MF,eng Premier League,23-076,2003,1,22,22,6.1,0.2,0,,0,1,22,0,1.00,0,0,0,0.00,-0.80,876,eng ENG,MF,eng Premier League,23-076,2003,0.2,1,0,0,1,0,0,0,1,1,0
877,Tim Iroegbunam,eng ENG,MF,Everton,eng Premier League,23.0,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,877,eng ENG,MF,eng Premier League,23-076,2003,0.1,0,0,0,,0.00,0.00,,,0,0,1089,eng ENG,MF,eng Premier League,23-076,2003,1,5,5,1.4,0.1,0,,0,1,5,0,1.00,1,0,+1,+18.00,+17.75,877,eng ENG,MF,eng Premier League,23-076,2003,0.1,0,0,0,1,0,0,0,0,0,0
878,Alexander Isak,se SWE,FW,Liverpool,eng Premier League,26.0,1999,4,4,333,3.7,3,0,3,3,0,0,0,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,878,se SWE,FW,eng Premier League,26-358,1999,3.7,3,12,6,50.0,3.24,1.62,0.25,0.50,0,0,1090,se SWE,FW,eng Premier League,26-358,1999,4,333,83,92.5,3.7,4,83,3,0,,0,1.50,6,4,+2,+0.54,+0.54,878,se SWE,FW,eng Premier League,26-358,1999,3.7,0,0,0,1,3,3,0,0,0,0
879,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,25.0,2001,4,1,158,1.8,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,879,dk DEN,FW,it Serie A,25-148,2001,1.8,0,3,0,0.0,1.71,0.00,0.00,,0,0,1091,dk DEN,FW,it Serie A,25-148,2001,4,158,40,43.9,1.8,1,52,0,3,35,0,2.50,1,3,-2,-1.14,-3.37,879,dk DEN,FW,it Serie A,25-148,2001,1.8,1,0,0,3,7,0,2,0,0,0
880,Isco,es ESP,MF,Real Betis,es La Liga,34.0,1992,4,2,180,2.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,880,es ESP,MF,es La Liga,34-146,1992,2.0,0,4,3,75.0,2.00,1.50,0.00,0.00,0,0,1092,es ESP,MF,es La Liga,34-146,1992,4,180,45,50.0,2.0,2,58,0,2,33,0,2.25,4,3,+1,+0.50,+1.00,880,es ESP,MF,es La Liga,34-146,1992,2.0,0,0,0,4,4,0,9,1,0,0
881,Wilson Isidor,ht HAI,"FW,MF",Sunderland,eng Premier League,26.0,2000,4,0,98,1.1,1,0,1,1,0,0,0,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,881,ht HAI,"FW,MF",eng Premier League,26-018,2000,1.1,1,5,2,40.0,4.59,1.84,0.20,0.50,0,0,1093,ht HAI,"FW,MF",eng Premier League,26-018,2000,4,98,25,27.2,1.1,0,,0,4,25,0,1.00,2,2,0,0.00,+0.69,881,ht HAI,"FW,MF",eng Premier League,26-018,2000,1.1,0,0,0,3,5,1,0,1,0,0
882,Ardian Ismajli,al ALB,DF,Torino,it Serie A,29.0,1996,3,1,165,1.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,882,al ALB,DF,it Serie A,29-349,1996,1.8,0,0,0,,0.00,0.00,,,0,0,1094,al ALB,DF,it Serie A,29-349,1996,3,165,55,61.1,1.8,1,90,1,2,38,0,1.00,3,4,-1,-0.55,-0.55,882,al ALB,DF,it Serie A,29-349,1996,1.8,0,0,0,0,2,0,0,4,1,0
883,Ko Itakura,jp JPN,DF,Gladbach,de Bundesliga,29.0,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,883,jp JPN,DF,de Bundesliga,29-230,1997,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,0,0,1095,jp JPN,DF,de Bundesliga,29-230,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,12,-9,-3.00,,883,jp JPN,DF,de Bundesliga,29-230,1997,3.0,0,0,0,2,2,0,2,2,1,0
884,Cedric Itten,ch SUI,"FW,MF",Werder Bremen,de Bundesliga,29.0,1996,3,0,57,0.6,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,884,ch SUI,"FW,MF",de Bundesliga,29-261,1996,0.6,0,1,0,0.0,1.58,0.00,0.00,,0,0,1097,ch SUI,"FW,MF",de Bundesliga,29-261,1996,3,57,19,21.1,0.6,0,,0,3,19,0,1.33,2,1,+1,+1.58,+2.42,884,ch SUI,"FW,MF",de Bundesliga,29-261,1996,0.6,0,0,0,2,0,0,0,0,0,0
885,Franjo Ivanović,hr CRO,MF,Lens,fr Ligue 1,22.0,2003,3,2,178,2.0,2,0,2,2,0,0,1,0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,885,hr CRO,MF,fr Ligue 1,22-348,2003,2.0,2,5,4,80.0,2.53,2.02,0.40,0.50,0,0,1099,hr CRO,MF,fr Ligue 1,22-348,2003,3,178,59,49.4,2.0,2,67,0,1,45,1,1.33,5,2,+3,+1.52,+2.51,885,hr CRO,MF,fr Ligue 1,22-348,2003,2.0,1,0,0,4,4,1,0,2,3,0
886,Alex Iwobi,ng NGA,MF,Fulham,eng Premier League,30.0,1996,4,4,338,3.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,886,ng NGA,MF,eng Premier League,30-134,1996,3.8,0,4,0,0.0,1.07,0.00,0.00,,0,0,1100,ng NGA,MF,eng Premier League,30-134,1996,4,338,85,93.9,3.8,4,85,2,0,,0,0.25,4,7,-3,-0.80,-0.80,886,ng NGA,MF,eng Premier League,30-134,1996,3.8,0,0,0,2,2,0,14,3,3,0
887,Nicolas Jackson,sn SEN,FW,Aston Villa,eng Premier League,25.0,2001,3,3,199,2.2,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,887,sn SEN,FW,eng Premier League,25-086,2001,2.2,0,2,0,0.0,0.90,0.00,0.00,,0,0,1101,sn SEN,FW,eng Premier League,25-086,2001,3,199,66,55.3,2.2,3,66,0,0,,0,0.33,0,2,-2,-0.90,+1.33,887,sn SEN,FW,eng Premier League,25-086,2001,2.2,1,0,0,1,1,1,2,0,0,0
888,Jérémy Jacquet,fr FRA,DF,Liverpool,eng Premier League,21.0,2005,4,4,325,3.6,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,888,fr FRA,DF,eng Premier League,21-063,2005,3.6,0,0,0,,0.00,0.00,,,0,0,1102,fr FRA,DF,eng Premier League,21-063,2005,4,325,81,90.3,3.6,4,81,2,0,,0,1.50,4,4,0,0.00,-5.14,888,fr FRA,DF,eng Premier League,21-063,2005,3.6,1,0,0,4,5,0,0,6,5,0
889,Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,34.0,1992,3,3,199,2.2,0,1,1,0,0,0,0,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,889,kr KOR,MF,de Bundesliga,34-035,1992,2.2,0,4,0,0.0,1.81,0.00,0.00,,0,0,1103,kr KOR,MF,de Bundesliga,34-035,1992,3,199,66,73.7,2.2,3,66,0,0,,0,1.33,4,2,+2,+0.90,-0.36,889,kr KOR,MF,de Bundesliga,34-035,1992,2.2,0,0,0,1,2,0,3,7,1,0
890,Karl Jakob Hein,ee EST,GK,Werder Bremen,de Bundesliga,24.0,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,41,ee EST,GK,de Bundesliga,24-154,2002,3,3,270,3.0,6,2.00,14,8,57.1,1,1,1,0,0.0,1,0,1,0,890,ee EST,GK,de Bundesliga,24-154,2002,3.0,0,0,0,,0.00,0.00,,,0,0,1104,ee EST,GK,de Bundesliga,24-154,2002,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,5,6,-1,-0.33,,890,ee EST,GK,de Bundesliga,24-154,2002,3.0,0,0,0,0,0,0,0,0,1,0
891,Daniel James,wls WAL,"FW,MF",Leeds United,eng Premier League,28.0,1997,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,891,wls WAL,"FW,MF",eng Premier League,28-308,1997,0.3,0,4,0,0.0,15.65,0.00,0.00,,0,0,1106,wls WAL,"FW,MF",eng Premier League,28-308,1997,1,23,23,8.5,0.3,0,,0,1,23,2,1.00,1,0,+1,+3.91,+3.91,891,wls WAL,"FW,MF",eng Premier League,28-308,1997,0.3,0,0,0,0,0,0,2,0,0,0
892,Reece James,eng ENG,MF,Chelsea,eng Premier League,26.0,1999,4,3,293,3.3,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,892,eng ENG,MF,eng Premier League,26-280,1999,3.3,0,8,4,50.0,2.46,1.23,0.00,0.00,0,0,1107,eng ENG,MF,eng Premier League,26-280,1999,4,293,73,81.4,3.3,3,90,3,1,23,0,1.75,7,7,0,0.00,-1.34,892,eng ENG,MF,eng Premier League,26-280,1999,3.3,1,0,0,3,2,0,15,3,1,0
893,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,28.0,1998,4,4,360,4.0,2,0,2,2,0,0,3,0,0.50,,,,,,,,,,,,,,,,,,,,,,,,,893,de GER,MF,eng Premier League,28-127,1998,4.0,2,3,2,66.7,0.75,0.50,0.67,1.00,0,0,1108,de GER,MF,eng Premier League,28-127,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,4,+3,+0.75,,893,de GER,MF,eng Premier League,28-127,1998,4.0,3,0,0,9,1,0,10,16,10,0
894,Isak Jansson,se SWE,"FW,MF",Nice,fr Ligue 1,24.0,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,894,se SWE,"FW,MF",fr Ligue 1,24-226,2002,0.3,0,0,0,,0.00,0.00,,,0,0,1109,se SWE,"FW,MF",fr Ligue 1,24-226,2002,2,23,12,6.4,0.3,0,,0,2,12,2,0.00,0,1,-1,-3.91,-3.11,894,se SWE,"FW,MF",fr Ligue 1,24-226,2002,0.3,0,0,0,0,2,0,1,0,1,0
895,Ardon Jashari,ch SUI,MF,Milan,it Serie A,24.0,2002,3,1,81,0.9,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,895,ch SUI,MF,it Serie A,24-046,2002,0.9,0,1,1,100.0,1.11,1.11,0.00,0.00,0,0,1111,ch SUI,MF,it Serie A,24-046,2002,3,81,27,22.5,0.9,1,55,0,2,13,1,2.33,1,1,0,0.00,-0.97,895,ch SUI,MF,it Serie A,24-046,2002,0.9,0,0,0,2,0,0,1,0,0,0
896,Bakery Jatta,gm GAM,MF,Hamburger SV,de Bundesliga,28.0,1998,2,1,83,0.9,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,896,gm GAM,MF,de Bundesliga,28-100,1998,0.9,0,0,0,,0.00,0.00,,,0,0,1112,gm GAM,MF,de Bundesliga,28-100,1998,2,83,42,30.7,0.9,1,81,0,1,2,1,0.00,0,2,-2,-2.17,+2.64,896,gm GAM,MF,de Bundesliga,28-100,1998,0.9,0,0,0,2,1,1,0,1,0,0
897,Eneko Jauregi,es ESP,FW,Málaga,es La Liga,30.0,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,897,es ESP,FW,es La Liga,30-063,1996,0.1,0,0,0,,0.00,0.00,,,0,0,1113,es ESP,FW,es La Liga,30-063,1996,1,11,11,2.4,0.1,0,,0,1,11,4,0.00,0,1,-1,-8.18,-7.16,897,es ESP,FW,es La Liga,30-063,1996,0.1,0,0,0,1,1,0,0,0,1,0
898,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,22.0,2003,4,1,152,1.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,898,es ESP,MF,es La Liga,22-305,2003,1.7,0,1,1,100.0,0.59,0.59,0.00,0.00,0,0,1114,es ESP,MF,es La Liga,22-305,2003,4,152,38,33.8,1.7,1,69,0,3,28,1,1.75,2,1,+1,+0.59,+0.59,898,es ESP,MF,es La Liga,22-305,2003,1.7,0,0,0,3,2,0,0,4,4,0
899,Daniel Jebbison,ca CAN,FW,Bournemouth,eng Premier League,23.0,2003,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,899,ca CAN,FW,eng Premier League,23-032,2003,0.2,0,1,1,100.0,5.00,5.00,0.00,0.00,0,0,1116,ca CAN,FW,eng Premier League,23-032,2003,2,18,9,5.0,0.2,0,,0,2,9,1,0.50,0,2,-2,-10.00,-10.26,899,ca CAN,FW,eng Premier League,23-032,2003,0.2,0,0,0,0,2,0,0,0,0,0
900,Elias Jelert,dk DEN,"MF,DF",Le Havre,fr Ligue 1,23.0,2003,3,2,189,2.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,900,dk DEN,"MF,DF",fr Ligue 1,23-094,2003,2.1,0,0,0,,0.00,0.00,,,0,0,1117,dk DEN,"MF,DF",fr Ligue 1,23-094,2003,3,189,63,52.5,2.1,2,84,1,1,21,1,0.33,1,2,-1,-0.48,+0.05,900,dk DEN,"MF,DF",fr Ligue 1,23-094,2003,2.1,0,0,0,2,0,0,10,2,2,0
901,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,20.0,2006,3,3,270,3.0,0,1,1,0,0,0,1,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,901,de GER,DF,de Bundesliga,20-059,2006,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,0,0,1118,de GER,DF,de Bundesliga,20-059,2006,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,6,8,-2,-0.67,,901,de GER,DF,de Bundesliga,20-059,2006,3.0,1,0,0,3,3,1,0,2,3,0
902,Isak Jensen,dk DEN,"FW,MF",Lorient,fr Ligue 1,22.0,2003,3,0,74,0.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,902,dk DEN,"FW,MF",fr Ligue 1,22-265,2003,0.8,0,2,0,0.0,2.43,0.00,0.00,,0,0,1119,dk DEN,"FW,MF",fr Ligue 1,22-265,2003,3,74,25,20.6,0.8,0,,0,3,25,0,1.33,0,1,-1,-1.22,-1.53,902,dk DEN,"FW,MF",fr Ligue 1,22-265,2003,0.8,0,0,0,0,2,2,5,0,0,0
903,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,30.0,1996,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,903,dk DEN,MF,eng Premier League,30-256,1996,0.7,0,2,1,50.0,2.73,1.36,0.00,0.00,0,0,1120,dk DEN,MF,eng Premier League,30-256,1996,1,66,66,18.3,0.7,1,66,0,0,,0,3.00,3,0,+3,+4.09,+4.09,903,dk DEN,MF,eng Premier League,30-256,1996,0.7,0,0,0,3,0,0,5,0,1,0
904,Gabriel Jesus,br BRA,"FW,MF",Barcelona,es La Liga,29.0,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,904,br BRA,"FW,MF",es La Liga,29-164,1997,0.1,0,2,0,0.0,18.00,0.00,0.00,,0,0,1122,br BRA,"FW,MF",es La Liga,29-164,1997,1,10,10,2.2,0.1,0,,0,1,10,1,3.00,1,0,+1,+9.00,+5.73,904,br BRA,"FW,MF",es La Liga,29-164,1997,0.1,0,0,0,0,0,0,0,0,0,0
